anio;mes;mes-año;provincia;rubro_A12;operaciones
2019;1;ene-19;SANTA CRUZ;Juguetes y Juegos de mesa; 139 
2019;1;ene-19;SANTA CRUZ;Libros; 4 
2019;1;ene-19;SANTA CRUZ;Materiales para la construcción; 997 
2019;1;ene-19;SANTA CRUZ;Motos y Bicicletas; 122 
2019;1;ene-19;SANTA CRUZ;Muebles; 434 
2019;1;ene-19;SANTA CRUZ;Teléfonos Celulares 4G; 6 
2019;1;ene-19;SANTA CRUZ;Turismo; 43 
2019;1;ene-19;SANTA FE;Anteojos; 3.081 
2019;1;ene-19;SANTA FE;Artículos de Librería; 315 
2019;1;ene-19;SANTA FE;Balnearios; 186 
2019;1;ene-19;SANTA FE;Bicicletas; 365 
2019;1;ene-19;SANTA FE;Calzado y Marroquinería; 21.945 
2019;1;ene-19;SANTA FE;Colchones; 752 
2019;1;ene-19;SANTA FE;Electrodomésticos; 19.237 
2019;1;ene-19;SANTA FE;Indumentaria; 89.889 
2019;1;ene-19;SANTA FE;Instrumentos musicales; 99 
2019;1;ene-19;SANTA FE;Juguetes y Juegos de mesa; 8.423 
2019;1;ene-19;SANTA FE;Libros; 565 
2019;1;ene-19;SANTA FE;Materiales para la construcción; 9.568 
2019;1;ene-19;SANTA FE;Motocicletas; 5 
2019;1;ene-19;SANTA FE;Motos y Bicicletas; 5.768 
2019;1;ene-19;SANTA FE;Muebles; 4.495 
2019;1;ene-19;SANTA FE;Sin clasificar; 1 
2019;1;ene-19;SANTA FE;Teléfonos Celulares 4G; 1.647 
2019;1;ene-19;SANTA FE;Turismo; 407 
2019;1;ene-19;SANTIAGO DEL ESTERO;Anteojos; 118 
2019;1;ene-19;SANTIAGO DEL ESTERO;Artículos de Librería; 1 
2019;1;ene-19;SANTIAGO DEL ESTERO;Balnearios; 1 
2019;1;ene-19;SANTIAGO DEL ESTERO;Bicicletas; 61 
2019;1;ene-19;SANTIAGO DEL ESTERO;Calzado y Marroquinería; 1.929 
2019;1;ene-19;SANTIAGO DEL ESTERO;Colchones; 36 
2019;1;ene-19;SANTIAGO DEL ESTERO;Computadoras, notebooks y tabletas; 2 
2019;1;ene-19;SANTIAGO DEL ESTERO;Electrodomésticos; 1.145 
2019;1;ene-19;SANTIAGO DEL ESTERO;Indumentaria; 5.345 
2019;1;ene-19;SANTIAGO DEL ESTERO;Juguetes y Juegos de mesa; 245 
2019;1;ene-19;SANTIAGO DEL ESTERO;Libros; 4 
2019;1;ene-19;SANTIAGO DEL ESTERO;Materiales para la construcción; 749 
